Date,Kailahun,Kenema,Kono,Kambia,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western Area Urban,Western Area Rural,Koinadugu
8/17/2014,401,277,1,1,7,2,28,3,24,6,1,20,4,not registered
8/16/2014,389,273,1,1,7,2,28,3,24,6,1,19,3,not registered
8/15/2014,389,270,1,1,7,2,26,3,23,6,1,15,3,not registered
8/14/2014,389,261,1,1,7,2,24,3,23,5,1,15,1,not registered
8/13/2014,378,259,1,1,7,2,24,3,22,5,1,13,1,not registered
8/12/2014,378,250,1,1,7,2,22,3,22,4,1,11,1,not registered
8/11/2014,376,235,1,1,6,1,20,3,22,4,1,11,1,not registered
8/10/2014,374,231,1,1,6,1,17,3,21,4,1,11,1,not registered
8/9/2014,368,220,1,1,5,1,17,3,19,4,1,11,1,not registered
8/8/2014,369,220,1,1,5,1,16,3,17,4,1,11,,
8/7/2014,365,214,1,1,5,1,13,2,17,4,1,7,,not registered
8/6/2014,361,204,1,1,5,1,8,2,14,4,1,6,,not registered
8/5/2014,352,201,1,1,5,1,8,2,12,1,1,6,,not registered
