,Day,Cases_Guinea,Cases_Liberia,Cases_SierraLeone,Cases_Nigeria,Cases_Senegal,Cases_UnitedStates,Cases_Spain,Cases_Mali,Deaths_Guinea,Deaths_Liberia,Deaths_SierraLeone,Deaths_Nigeria,Deaths_Senegal,Deaths_UnitedStates,Deaths_Spain,Deaths_Mali,guinea_interpolate,SL_interpolate,liberia_interpolate,nigeria_interpolate
2014-03-20,,,,,,,,,,,,,,,,,,,,,
2014-03-21,,,,,,,,,,,,,,,,,,,,,
2014-03-22,0.0,49.0,,,,,,,,29.0,,,,,,,,49.0,,,
2014-03-23,,,,,,,,,,,,,,,,,,67.5,,,
2014-03-24,2.0,86.0,,,,,,,,59.0,,,,,,,,86.0,,,
2014-03-25,3.0,86.0,,,,,,,,60.0,,,,,,,,86.0,,,
2014-03-26,4.0,86.0,,,,,,,,62.0,,,,,,,,86.0,,,
2014-03-27,5.0,103.0,8.0,6.0,,,,,,66.0,6.0,5.0,,,,,,103.0,6.0,8.0,
2014-03-28,6.0,112.0,3.0,2.0,,,,,,70.0,3.0,2.0,,,,,,112.0,2.0,3.0,
2014-03-29,7.0,112.0,7.0,,,,,,,70.0,2.0,,,,,,,112.0,2.0,7.0,
2014-03-30,,,,,,,,,,,,,,,,,,117.0,2.0,7.5,
2014-03-31,9.0,122.0,8.0,2.0,,,,,,80.0,4.0,2.0,,,,,,122.0,2.0,8.0,
2014-04-01,10.0,127.0,8.0,2.0,,,,,,83.0,5.0,2.0,,,,,,127.0,2.0,8.0,
2014-04-02,,,,,,,,,,,,,,,,,,132.33333333333334,2.0,11.333333333333334,
2014-04-03,,,,,,,,,,,,,,,,,,137.66666666666666,2.0,14.666666666666668,
2014-04-04,13.0,143.0,18.0,2.0,,,,,,86.0,7.0,2.0,,,,,,143.0,2.0,18.0,
2014-04-05,,,,,,,,,,,,,,,,,,145.66666666666666,2.0,19.0,
2014-04-06,,,,,,,,,,,,,,,,,,148.33333333333334,2.0,20.0,
2014-04-07,16.0,151.0,21.0,2.0,,,,,,95.0,10.0,2.0,,,,,,151.0,2.0,21.0,
2014-04-08,,,,,,,,,,,,,,,,,,154.5,2.0,23.0,
2014-04-09,18.0,158.0,25.0,2.0,,,,,,101.0,12.0,2.0,,,,,,158.0,2.0,25.0,
2014-04-10,,,,,,,,,,,,,,,,,,158.5,2.0,25.5,
2014-04-11,20.0,159.0,26.0,2.0,,,,,,106.0,13.0,2.0,,,,,,159.0,2.0,26.0,
2014-04-12,,,,,,,,,,,,,,,,,,162.0,4.5,26.2,
2014-04-13,,,,,,,,,,,,,,,,,,165.0,7.0,26.4,
2014-04-14,23.0,168.0,,,,,,,,108.0,,,,,,,,168.0,9.5,26.6,
