Date,Variable,National,Lokolia,Watsikengo,HGR Boende,Boende moke,Lokula,Mondombe
09/28/2014,Number of registered cases,70,,,,,,
09/28/2014,Laboratory confirmed cases,30,,,,,,
09/28/2014,Probable cases,26,,,,,,
09/28/2014,Suspected cases,14,,,,,,
09/28/2014,Number of deaths,42,,,,,,
09/28/2014,Number of ill health personnel,9,,,,,,
09/28/2014,Number of deaths - health personnel,8,,,,,,
09/28/2014,Number of hospitalized people (in isolation),2,2,0,0,0,0,0
09/28/2014,Contacts requiring follow-up,279,,,,,,
09/28/2014,Contacts seen to date,265,,,,,,
09/28/2014,Contacts discarded from follow-up after 21 days,666,,,,,,
09/28/2014,Number of lost contacts,0,,,,,,
09/28/2014,Number of samples analyzed,138,,,,,,
09/28/2014,Case Fatality Rate (CFR) - Confirmed - probable - suspected cases (%),60,,,,,,
09/28/2014,Contacts recorded to date,,,,,,,
