Date,Variable,National,Bomi County,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Lofa County,Margibi County,Maryland County,Montserrado County,Nimba County
7/28/2014,Specimens collected,8,0,,,,,,,,,,8
7/28/2014,Specimens pending for testing,26,8,,,,,1,3,1,0,7,
7/28/2014,Total specimens tested,8,8,,,,,,,,,,
7/28/2014,Newly reported deaths,15,0,0,,,,,8,0,,4,3
7/28/2014,Total death/s in confirmed cases,76,1,4,,,,,38,2,,30,1
7/28/2014,Total death/s in probable cases,74,1,3,,,,,27,0,,41,2
7/28/2014,Total death/s in suspected cases,20,0,1,,,,1,14,2,,2,0
7/28/2014,"Total death/s in confirmed, 
 probable, suspected cases",170,2,8,,,,1,79,4,,73,3
7/28/2014,"Case Fatality Rate (CFR) - 
 Confirmed & Probable Cases",59.8,9.1,30.4,,,,,52.4,50,,97.3,60
7/28/2014,Newly reported contacts,110,0,0,,,,,23,0,,75,12
7/28/2014,Total contacts listed,697,6,51,,,,,203,28,,359,50
7/28/2014,Currently under follow-up,636,6,51,,,,,192,5,,334,48
7/28/2014,Contacts seen,606,6,26,,,,,192,0,,334,48
7/28/2014,"Contacts who completed 21 day 
 follow-up",36,0,0,,,,,11,0,,25,
7/28/2014,Contacts lost to follow-up,0,0,0,,,,,,0,,,
7/28/2014,New admissions,11,,,,,,,9,,,2,
7/28/2014,"Total no. currently in Treatment 
 Units",40,,,,,,,23,,,17,
7/28/2014,Total discharges,4,,,,,,,2,,,2,
7/28/2014,Cumulative admission/isolation,40,,,,,,,23,,,17,
7/28/2014,Newly Reported Cases in HCW,2,,,,,,,1,,,,1
7/28/2014,Cumulative cases among HCW,45,,20,,,,,11,,,13,1
7/28/2014,Newly Reported deaths in HCW,1,,,,,,,1,,,,
7/28/2014,Cumulative deaths among HCW,26,,3,,,,,6,,,17,
7/28/2014,New Case/s (Suspected),,,,,,,,,,,,
7/28/2014,New Case/s (Probable),,,,,,,,,,,,
7/28/2014,New case/s (confirmed),,,,,,,,,,,,
7/28/2014,Total suspected cases,,,,,,,,,,,,
7/28/2014,Total probable cases,,,,,,,,,,,,
7/28/2014,Total confirmed cases,,,,,,,,,,,,
7/28/2014,"Total Number of Conformed Cases 
 of Sierra Leonean Nationality",,,,,,,,,,,,
7/28/2014,"Total Number of Conformed Cases 
 of Guinean Nationality",,,,,,,,,,,,
