date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National
8/20/2014,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350
8/20/2014,new_noncase,2,6,0,0,0,0,0,0,0,7,0,0,2,1,18
8/20/2014,new_suspected,0,15,0,0,0,0,0,0,1,0,0,0,0,0,16
8/20/2014,new_probable,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
8/20/2014,new_confirmed,3,2,0,0,0,0,0,0,0,2,0,0,2,0,9
8/20/2014,cum_noncase,214,347,16,1,17,15,10,13,2,70,13,0,72,12,802
8/20/2014,cum_suspected,14,17,33,0,0,1,0,0,1,0,0,0,0,0,66
8/20/2014,cum_probable,32,0,1,0,0,1,0,3,0,1,1,0,1,0,40
8/20/2014,cum_confirmed,409,285,1,1,0,10,2,31,3,26,8,1,22,5,804
8/20/2014,death_suspected,2,1,0,0,0,0,0,1,0,0,0,0,1,0,5
8/20/2014,death_probable,32,0,0,0,0,0,0,1,0,0,0,0,1,0,34
8/20/2014,death_confirmed,176,133,0,0,0,1,1,1,0,2,4,0,2,0,320
8/20/2014,cfr,43,46.7,0,0,0,10,0,3.2,0,7.7,50,0,9.1,0,39.8
8/20/2014,etc_new_admission,2,7,,,,,,,,,,,,,
8/20/2014,etc_currently_admitted,59,30,,,,,,,,,,,,,
8/20/2014,etc_cum_admission,359,289,,,,,,,,,,,,,
8/20/2014,etc_new_deaths,3,3,,,,,,,,,,,,,
8/20/2014,etc_cum_deaths,133,176,,,,,,,,,,,,,
8/20/2014,etc_new_discharges,3,2,,,,,,,,,,,,,
8/20/2014,etc_cum_discharges,157,68,,,,,,,,,,,,,
8/20/2014,cum_contacts,1156,1498,38,12,0,242,19,631,71,332,121,26,499,41,4686
8/20/2014,cum_completed_contacts,885,953,38,0,0,36,11,47,56,120,9,26,132,0,2313
8/20/2014,contacts_followed,358,511,0,12,0,206,8,584,14,212,121,0,367,41,2434
8/20/2014,new_contacts,11,21,0,0,0,3,0,60,0,10,0,0,0,0,105
8/20/2014,contacts_healthy,358,470,0,0,0,198,8,562,14,208,121,0,367,41,2347
8/20/2014,contacts_ill,0,0,0,0,0,0,0,14,0,0,0,0,0,0,14
8/20/2014,contacts_not_seen,0,41,0,0,0,8,0,18,0,4,0,0,0,0,71
8/20/2014,new_completed_contacts,140,0,0,0,0,0,0,17,33,0,0,0,0,0,190
8/20/2014,percent_seen,100%,92%,NA,NA,NA,96%,100,99%,100%,98%,100%,NA,100%,100%,97%
