Date,Day,Country,Type,Value,TotalValue
3/22/2014,0,Guinea,Cases,49,49
3/22/2014,0,Guinea,Deaths,29,29
3/22/2014,0,Liberia,Cases,0,0
3/22/2014,0,Liberia,Deaths,0,0
3/22/2014,0,SierraLeone,Cases,0,0
3/22/2014,0,SierraLeone,Deaths,0,0
3/22/2014,0,Nigeria,Cases,0,0
3/22/2014,0,Nigeria,Deaths,0,0
3/22/2014,0,Senegal,Cases,0,0
3/22/2014,0,Senegal,Deaths,0,0
3/22/2014,0,UnitedStates,Cases,0,0
3/22/2014,0,UnitedStates,Deaths,0,0
3/22/2014,0,Spain,Cases,0,0
3/22/2014,0,Spain,Deaths,0,0
3/22/2014,0,Mali,Cases,0,0
3/22/2014,0,Mali,Deaths,0,0
3/24/2014,2,Guinea,Cases,37,86
3/24/2014,2,Guinea,Deaths,30,59
3/24/2014,2,Liberia,Cases,0,0
3/24/2014,2,Liberia,Deaths,0,0
3/24/2014,2,SierraLeone,Cases,0,0
3/24/2014,2,SierraLeone,Deaths,0,0
3/24/2014,2,Nigeria,Cases,0,0
3/24/2014,2,Nigeria,Deaths,0,0
3/24/2014,2,Senegal,Cases,0,0
3/24/2014,2,Senegal,Deaths,0,0
3/24/2014,2,UnitedStates,Cases,0,0
3/24/2014,2,UnitedStates,Deaths,0,0
3/24/2014,2,Spain,Cases,0,0
3/24/2014,2,Spain,Deaths,0,0
3/24/2014,2,Mali,Cases,0,0
3/24/2014,2,Mali,Deaths,0,0
3/25/2014,3,Guinea,Cases,0,86
3/25/2014,3,Guinea,Deaths,1,60
3/25/2014,3,Liberia,Cases,0,0
3/25/2014,3,Liberia,Deaths,0,0
3/25/2014,3,SierraLeone,Cases,0,0
3/25/2014,3,SierraLeone,Deaths,0,0
3/25/2014,3,Nigeria,Cases,0,0
3/25/2014,3,Nigeria,Deaths,0,0
3/25/2014,3,Senegal,Cases,0,0
3/25/2014,3,Senegal,Deaths,0,0
3/25/2014,3,UnitedStates,Cases,0,0
3/25/2014,3,UnitedStates,Deaths,0,0
3/25/2014,3,Spain,Cases,0,0
3/25/2014,3,Spain,Deaths,0,0
3/25/2014,3,Mali,Cases,0,0
3/25/2014,3,Mali,Deaths,0,0
3/26/2014,4,Guinea,Cases,0,86
3/26/2014,4,Guinea,Deaths,2,62
3/26/2014,4,Liberia,Cases,0,0
3/26/2014,4,Liberia,Deaths,0,0
3/26/2014,4,SierraLeone,Cases,0,0
3/26/2014,4,SierraLeone,Deaths,0,0
3/26/2014,4,Nigeria,Cases,0,0
3/26/2014,4,Nigeria,Deaths,0,0
3/26/2014,4,Senegal,Cases,0,0
3/26/2014,4,Senegal,Deaths,0,0
3/26/2014,4,UnitedStates,Cases,0,0
