date,source,country,level,area,tot_case,cur_admit,tot_recover,tot_death,house
20140602,Guinea_Ebola_Sit_Rep_52,GIN,0,Guinea,,,,,
20140602,Guinea_Ebola_Sit_Rep_52,GIN,2,Conakry,65,1,,28,
20140602,Guinea_Ebola_Sit_Rep_52,GIN,2,Gueckedou,193,10,,144,
20140602,Guinea_Ebola_Sit_Rep_52,GIN,2,Macenta,44,,,26,
20140602,Guinea_Ebola_Sit_Rep_52,GIN,2,Dabola,4,,,4,
20140602,Guinea_Ebola_Sit_Rep_52,GIN,2,Kissidougou,7,,,5,
20140602,Guinea_Ebola_Sit_Rep_52,GIN,2,Dinguiraye,1,,,1,
20140602,Guinea_Ebola_Sit_Rep_52,GIN,2,Telimele,23,,,5,
20140602,Guinea_Ebola_Sit_Rep_52,GIN,2,Boffa,7,1,,4,
20140603,Guinea_Ebola_Sit_Rep_53,GIN,0,Guinea,,,,,
20140603,Guinea_Ebola_Sit_Rep_53,GIN,2,Conakry,65,6,,28,
20140603,Guinea_Ebola_Sit_Rep_53,GIN,2,Gueckedou,193,9,,144,
20140603,Guinea_Ebola_Sit_Rep_53,GIN,2,Macenta,44,,,26,
20140603,Guinea_Ebola_Sit_Rep_53,GIN,2,Dabola,4,,,4,
20140603,Guinea_Ebola_Sit_Rep_53,GIN,2,Kissidougou,7,,,5,
20140603,Guinea_Ebola_Sit_Rep_53,GIN,2,Dinguiraye,1,,,1,
20140603,Guinea_Ebola_Sit_Rep_53,GIN,2,Telimele,23,15,,5,
20140603,Guinea_Ebola_Sit_Rep_53,GIN,2,Boffa,7,1,,4,
20140805,Guinea_Ebola_Sit_Rep_111,GIN,0,Guinea,,,,,
20140805,Guinea_Ebola_Sit_Rep_111,GIN,2,Conakry,95,21,,42,
20140805,Guinea_Ebola_Sit_Rep_111,GIN,2,Gueckedou,285,8,,247,
20140805,Guinea_Ebola_Sit_Rep_111,GIN,2,Macenta,39,,,29,
20140805,Guinea_Ebola_Sit_Rep_111,GIN,2,Dabola,4,,,4,
20140805,Guinea_Ebola_Sit_Rep_111,GIN,2,Kissidougou,6,,,5,
20140805,Guinea_Ebola_Sit_Rep_111,GIN,2,Dinguiraye,1,,,1,
20140805,Guinea_Ebola_Sit_Rep_111,GIN,2,Telimele,26,,,10,
20140805,Guinea_Ebola_Sit_Rep_111,GIN,2,Boffa,23,,,16,
20140805,Guinea_Ebola_Sit_Rep_111,GIN,2,Kouroussa,4,,,3,
20140805,Guinea_Ebola_Sit_Rep_111,GIN,2,Siguiri,6,2,,3,
20140805,Guinea_Ebola_Sit_Rep_111,GIN,2,Pita,2,,,2,
20140805,Guinea_Ebola_Sit_Rep_111,GIN,2,Nzerekore,4,,,1,
20140805,Guinea_Ebola_Sit_Rep_111,GIN,2,Yomou,0,,,0,
20140805,Guinea_Ebola_Sit_Rep_111,GIN,2,Dubreka,0,,,0,
20140819,Guinea_Ebola_Sit_Rep_119,GIN,0,Guinea,,,,,
20140819,Guinea_Ebola_Sit_Rep_119,GIN,2,Conakry,93,4,,43,
20140819,Guinea_Ebola_Sit_Rep_119,GIN,2,Gueckedou,296,9,,255,
20140819,Guinea_Ebola_Sit_Rep_119,GIN,2,Macenta,45,,,30,
20140819,Guinea_Ebola_Sit_Rep_119,GIN,2,Dabola,4,,,4,
20140819,Guinea_Ebola_Sit_Rep_119,GIN,2,Kissidougou,6,,,5,
20140819,Guinea_Ebola_Sit_Rep_119,GIN,2,Dinguiraye,1,,,1,
20140819,Guinea_Ebola_Sit_Rep_119,GIN,2,Telimele,26,,,10,
20140819,Guinea_Ebola_Sit_Rep_119,GIN,2,Boffa,23,,,16,
20140819,Guinea_Ebola_Sit_Rep_119,GIN,2,Kouroussa,4,,,4,
20140819,Guinea_Ebola_Sit_Rep_119,GIN,2,Siguiri,6,2,,3,
20140819,Guinea_Ebola_Sit_Rep_119,GIN,2,Pita,4,,,3,
20140819,Guinea_Ebola_Sit_Rep_119,GIN,2,Nzerekore,5,,,2,
20140819,Guinea_Ebola_Sit_Rep_119,GIN,2,Yomou,2,,,2,
20140819,Guinea_Ebola_Sit_Rep_119,GIN,2,Dubreka,0,,,0,
20140820,Guinea_Ebola_Sit_Rep_127,GIN,0,Guinea,,,,,
20140820,Guinea_Ebola_Sit_Rep_127,GIN,2,Conakry,100,13,,45,
20140820,Guinea_Ebola_Sit_Rep_127,GIN,2,Gueckedou,310,37,,266,
20140820,Guinea_Ebola_Sit_Rep_127,GIN,2,Macenta,97,,,39,
20140820,Guinea_Ebola_Sit_Rep_127,GIN,2,Dabola,4,,,4,
20140820,Guinea_Ebola_Sit_Rep_127,GIN,2,Kissidougou,6,,,5,
20140820,Guinea_Ebola_Sit_Rep_127,GIN,2,Dinguiraye,1,,,1,
20140820,Guinea_Ebola_Sit_Rep_127,GIN,2,Telimele,26,,,10,
20140820,Guinea_Ebola_Sit_Rep_127,GIN,2,Boffa,24,,,16,
20140820,Guinea_Ebola_Sit_Rep_127,GIN,2,Kouroussa,4,,,4,
20140820,Guinea_Ebola_Sit_Rep_127,GIN,2,Siguiri,6,,,3,
20140820,Guinea_Ebola_Sit_Rep_127,GIN,2,Pita,7,1,,3,
20140820,Guinea_Ebola_Sit_Rep_127,GIN,2,Nzerekore,10,,,3,
20140820,Guinea_Ebola_Sit_Rep_127,GIN,2,Yomou,7,,,2,
20140820,Guinea_Ebola_Sit_Rep_127,GIN,2,Dubreka,1,,,1,
20140824,Guinea_Ebola_Sit_Rep_132,GIN,0,Guinea,,,,,
20140824,Guinea_Ebola_Sit_Rep_132,GIN,2,Conakry,114,19,,48,
20140824,Guinea_Ebola_Sit_Rep_132,GIN,2,Gueckedou,312,60,,267,
20140824,Guinea_Ebola_Sit_Rep_132,GIN,2,Macenta,124,,,63,
20140824,Guinea_Ebola_Sit_Rep_132,GIN,2,Dabola,4,,,4,
20140824,Guinea_Ebola_Sit_Rep_132,GIN,2,Kissidougou,6,,,6,
20140824,Guinea_Ebola_Sit_Rep_132,GIN,2,Dinguiraye,1,,,1,
20140824,Guinea_Ebola_Sit_Rep_132,GIN,2,Telimele,26,,,10,
20140824,Guinea_Ebola_Sit_Rep_132,GIN,2,Boffa,24,,,16,
20140824,Guinea_Ebola_Sit_Rep_132,GIN,2,Kouroussa,4,,,4,
20140824,Guinea_Ebola_Sit_Rep_132,GIN,2,Siguiri,6,,,3,
20140824,Guinea_Ebola_Sit_Rep_132,GIN,2,Pita,6,,,3,
20140824,Guinea_Ebola_Sit_Rep_132,GIN,2,Nzerekore,12,,,6,
20140824,Guinea_Ebola_Sit_Rep_132,GIN,2,Yomou,14,,,3,
20140824,Guinea_Ebola_Sit_Rep_132,GIN,2,Dubreka,8,,,1,
20140826,Guinea_Ebola_Sit_Rep_133,GIN,0,Guinea,,,,,
20140826,Guinea_Ebola_Sit_Rep_133,GIN,2,Conakry,118,26,,49,
20140826,Guinea_Ebola_Sit_Rep_133,GIN,2,Gueckedou,313,54,,268,
20140826,Guinea_Ebola_Sit_Rep_133,GIN,2,Macenta,122,,,64,
20140826,Guinea_Ebola_Sit_Rep_133,GIN,2,Dabola,4,,,4,
20140826,Guinea_Ebola_Sit_Rep_133,GIN,2,Kissidougou,7,,,6,
20140826,Guinea_Ebola_Sit_Rep_133,GIN,2,Dinguiraye,1,,,1,
20140826,Guinea_Ebola_Sit_Rep_133,GIN,2,Telimele,26,,,10,
20140826,Guinea_Ebola_Sit_Rep_133,GIN,2,Boffa,24,,,16,
20140826,Guinea_Ebola_Sit_Rep_133,GIN,2,Kouroussa,4,,,4,
20140826,Guinea_Ebola_Sit_Rep_133,GIN,2,Siguiri,6,,,3,
20140826,Guinea_Ebola_Sit_Rep_133,GIN,2,Pita,6,,,3,
20140826,Guinea_Ebola_Sit_Rep_133,GIN,2,Nzerekore,12,,,6,
20140826,Guinea_Ebola_Sit_Rep_133,GIN,2,Yomou,11,,,3,
20140826,Guinea_Ebola_Sit_Rep_133,GIN,2,Dubreka,9,,,1,
20140829,Guinea_Ebola_Sit_Rep_136,GIN,0,Guinea,,,,,
20140829,Guinea_Ebola_Sit_Rep_136,GIN,2,Conakry,126,27,,55,
20140829,Guinea_Ebola_Sit_Rep_136,GIN,2,Gueckedou,317,55,,271,
20140829,Guinea_Ebola_Sit_Rep_136,GIN,2,Macenta,142,,,80,
20140829,Guinea_Ebola_Sit_Rep_136,GIN,2,Dabola,4,,,4,
20140829,Guinea_Ebola_Sit_Rep_136,GIN,2,Kissidougou,7,,,6,
20140829,Guinea_Ebola_Sit_Rep_136,GIN,2,Dinguiraye,1,,,1,
20140829,Guinea_Ebola_Sit_Rep_136,GIN,2,Telimele,26,,,10,
20140829,Guinea_Ebola_Sit_Rep_136,GIN,2,Boffa,25,,,16,
20140829,Guinea_Ebola_Sit_Rep_136,GIN,2,Kouroussa,4,,,4,
20140829,Guinea_Ebola_Sit_Rep_136,GIN,2,Siguiri,6,,,3,
20140829,Guinea_Ebola_Sit_Rep_136,GIN,2,Pita,6,,,4,
20140829,Guinea_Ebola_Sit_Rep_136,GIN,2,Nzerekore,11,,,6,
20140829,Guinea_Ebola_Sit_Rep_136,GIN,2,Yomou,11,,,3,
20140829,Guinea_Ebola_Sit_Rep_136,GIN,2,Dubreka,14,,,2,
20140829,Guinea_Ebola_Sit_Rep_136,GIN,2,Forecariah,7,,,3,
20140830,Guinea_Ebola_Sit_Rep_137,GIN,0,Guinea,,,,,
20140830,Guinea_Ebola_Sit_Rep_137,GIN,2,Conakry,128,35,,55,
20140830,Guinea_Ebola_Sit_Rep_137,GIN,2,Gueckedou,329,64,,279,
20140830,Guinea_Ebola_Sit_Rep_137,GIN,2,Macenta,161,,,92,
20140830,Guinea_Ebola_Sit_Rep_137,GIN,2,Dabola,4,,,4,
20140830,Guinea_Ebola_Sit_Rep_137,GIN,2,Kissidougou,7,,,6,
20140830,Guinea_Ebola_Sit_Rep_137,GIN,2,Dinguiraye,1,,,1,
20140830,Guinea_Ebola_Sit_Rep_137,GIN,2,Telimele,26,,,10,
20140830,Guinea_Ebola_Sit_Rep_137,GIN,2,Boffa,25,,,16,
20140830,Guinea_Ebola_Sit_Rep_137,GIN,2,Kouroussa,4,,,4,
20140830,Guinea_Ebola_Sit_Rep_137,GIN,2,Siguiri,6,,,3,
20140830,Guinea_Ebola_Sit_Rep_137,GIN,2,Pita,8,,,4,
20140830,Guinea_Ebola_Sit_Rep_137,GIN,2,Nzerekore,11,,,6,
20140830,Guinea_Ebola_Sit_Rep_137,GIN,2,Yomou,11,,,3,
20140830,Guinea_Ebola_Sit_Rep_137,GIN,2,Dubreka,21,,,3,
20140830,Guinea_Ebola_Sit_Rep_137,GIN,2,Forecariah,7,,,3,
20140901,Guinea_Ebola_Sit_Rep_139,GIN,0,Guinea,,,,,
20140901,Guinea_Ebola_Sit_Rep_139,GIN,2,Conakry,133,38,,56,
20140901,Guinea_Ebola_Sit_Rep_139,GIN,2,Gueckedou,334,67,,283,
20140901,Guinea_Ebola_Sit_Rep_139,GIN,2,Macenta,174,,,99,
20140901,Guinea_Ebola_Sit_Rep_139,GIN,2,Dabola,4,,,4,
20140901,Guinea_Ebola_Sit_Rep_139,GIN,2,Kissidougou,7,,,6,
20140901,Guinea_Ebola_Sit_Rep_139,GIN,2,Dinguiraye,1,,,1,
20140901,Guinea_Ebola_Sit_Rep_139,GIN,2,Telimele,26,,,10,
20140901,Guinea_Ebola_Sit_Rep_139,GIN,2,Boffa,25,,,16,
20140901,Guinea_Ebola_Sit_Rep_139,GIN,2,Kouroussa,4,,,4,
20140901,Guinea_Ebola_Sit_Rep_139,GIN,2,Siguiri,6,,,3,
20140901,Guinea_Ebola_Sit_Rep_139,GIN,2,Pita,9,,,3,
20140901,Guinea_Ebola_Sit_Rep_139,GIN,2,Nzerekore,11,,,6,
20140901,Guinea_Ebola_Sit_Rep_139,GIN,2,Yomou,11,,,4,
20140901,Guinea_Ebola_Sit_Rep_139,GIN,2,Dubreka,21,,,3,
20140901,Guinea_Ebola_Sit_Rep_139,GIN,2,Forecariah,7,,,3,
20140901,Guinea_Ebola_Sit_Rep_139,GIN,2,Kerouane,14,,,0,
20140901,Guinea_Ebola_Sit_Rep_139,GIN,2,Coyah,3,,,0,
20140903,Guinea_Ebola_Sit_Rep_141,GIN,0,Guinea,,,,,
20140903,Guinea_Ebola_Sit_Rep_141,GIN,2,Conakry,140,31,,57,
20140903,Guinea_Ebola_Sit_Rep_141,GIN,2,Gueckedou,336,72,,284,
20140903,Guinea_Ebola_Sit_Rep_141,GIN,2,Macenta,199,,,116,
20140903,Guinea_Ebola_Sit_Rep_141,GIN,2,Dabola,4,,,4,
20140903,Guinea_Ebola_Sit_Rep_141,GIN,2,Kissidougou,7,,,6,
20140903,Guinea_Ebola_Sit_Rep_141,GIN,2,Dinguiraye,1,,,1,
20140903,Guinea_Ebola_Sit_Rep_141,GIN,2,Telimele,26,,,10,
20140903,Guinea_Ebola_Sit_Rep_141,GIN,2,Boffa,25,,,16,
20140903,Guinea_Ebola_Sit_Rep_141,GIN,2,Kouroussa,4,,,4,
20140903,Guinea_Ebola_Sit_Rep_141,GIN,2,Siguiri,6,,,3,
20140903,Guinea_Ebola_Sit_Rep_141,GIN,2,Pita,9,,,3,
20140903,Guinea_Ebola_Sit_Rep_141,GIN,2,Nzerekore,11,,,6,
