Date,Variable,National,Bomi county,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Lofa County,Margibi County,Maryland County,Monteserrado County,Nimba County,RiverCess County
8/7/2014,Specimens collected,3,,,,,,,3,,,,,
8/7/2014,Specimens pending for testing,32,9,9,,1,,,9,1,,1,2,
8/7/2014,Total specimens tested,7,,,,,,,7,,,,,
8/7/2014,Newly reported deaths,13,1,,,1,,,8,,,2,1,
8/7/2014,Total death/s in confirmed cases,134,6,4,,,,,67,2,,50,4,
8/7/2014,Total death/s in probable cases,119,5,6,,1,,,45,,,57,3,1
8/7/2014,Total death/s in suspected cases,42,,1,,,,,16,3,,21,1,
8/7/2014,"Total death/s in confirmed, 
 probable, suspected cases",295,11,11,,1,,,128,5,,128,8,1
8/7/2014,"Case Fatality Rate (CFR) - 
 Confirmed & Probable Cases",,,,,,,,,,,,,
8/7/2014,Newly reported contacts,2,,,,,,,2,,,,,
8/7/2014,Total contacts listed,1057,58,62,,3,,,259,28,,583,58,6
8/7/2014,Currently under follow-up,938,52,39,,3,,,259,5,,538,38,4
8/7/2014,Contacts seen,347,50,,,,,,259,,,,38,
8/7/2014,"Contacts who completed 21 day 
 follow-up",8,2,,,,,,,,,,6,
8/7/2014,Contacts lost to follow-up,6,6,,,,,,,,,,,
8/7/2014,New admissions,5,,,,,,,3,,,2,,
8/7/2014,"Total no. currently in Treatment 
 Units",64,,,,,,,39,,,25,,
8/7/2014,Total discharges,0,,,,,,,,,,,,
8/7/2014,Cumulative admission/isolation,64,,,,,,,39,,,25,,
8/7/2014,Newly Reported Cases in HCW,2,,,,,,,,,,2,,
8/7/2014,Cumulative cases among HCW,76,4,23,,,,,15,4,,29,1,
8/7/2014,Newly Reported deaths in HCW,,,,,,,,,,,,,
8/7/2014,Cumulative deaths among HCW,33,4,3,,,,,12,,,14,,
8/7/2014,New Case/s (Suspected),3,,,,3,,,,,,,,
8/7/2014,New Case/s (Probable),29,,,,,,,26,,,,,
8/7/2014,New case/s (confirmed),2,2,,,3,,,0,,,2,1,
8/7/2014,Total suspected cases,135,4,,,1,1,,57,9,,,,
8/7/2014,Total probable cases,295,18,,,,3,,161,2,,24,5,
8/7/2014,Total confirmed cases,149,9,,,,1,,76,2,,90,5,1
8/7/2014,"Total Number of Conformed Cases 
 of Sierra Leonean Nationality",12,,,,,,,11,,,43,6,
8/7/2014,"Total Number of Conformed Cases 
 of Guinean Nationality",,,,,,,,,,,,,
