Date,Variable,National,Bomi County,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Grand Kru,Lofa County,Margibi County,Maryland County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
12/18/2014,Specimens collected,,,,,,,,,,,,,,,,
12/18/2014,Specimens pending for testing,,,,,,,,,,,,,,,,
12/18/2014,Total specimens tested,,,,,,,,,,,,,,,,
12/18/2014,Newly reported deaths,,,,,,,,,,,,,,,,
12/18/2014,Total death/s in confirmed cases,,,,,,,,,,,,,,,,
12/18/2014,Total death/s in probable cases,,,,,,,,,,,,,,,,
12/18/2014,Total death/s in suspected cases,,,,,,,,,,,,,,,,
12/18/2014,"Total death/s in confirmed, 
 probable, suspected cases",,,,,,,,,,,,,,,,
12/18/2014,"Case Fatality Rate (CFR) - 
 Confirmed & Probable Cases",,,,,,,,,,,,,,,,
12/18/2014,Newly reported contacts,,,,,,,,,,,,,,,,
12/18/2014,Total contacts listed,,,,,,,,,,,,,,,,
12/18/2014,Currently under follow-up,,,,,,,,,,,,,,,,
12/18/2014,Contacts seen,,,,,,,,,,,,,,,,
12/18/2014,"Contacts who completed 21 day 
 follow-up",,,,,,,,,,,,,,,,
12/18/2014,Contacts lost to follow-up,,,,,,,,,,,,,,,,
12/18/2014,New admissions,,,,,,,,,,,,,,,,
12/18/2014,"Total no. currently in Treatment 
 Units",,,,,,,,,,,,,,,,
12/18/2014,Total discharges,,,,,,,,,,,,,,,,
12/18/2014,Cumulative admission/isolation,,,,,,,,,,,,,,,,
12/18/2014,Newly Reported Cases in HCW,,,,,,,,,,,,,,,,
12/18/2014,Cumulative cases among HCW,,,,,,,,,,,,,,,,
12/18/2014,Newly Reported deaths in HCW,,,,,,,,,,,,,,,,
12/18/2014,Cumulative deaths among HCW,,,,,,,,,,,,,,,,
12/18/2014,New Case/s (Suspected),,,,,,,,,,,,,,,,
12/18/2014,New Case/s (Probable),,,,,,,,,,,,,,,,
12/18/2014,New case/s (confirmed),,,,,,,,,,,,,,,,
12/18/2014,Total suspected cases,,,,,,,,,,,,,,,,
12/18/2014,Total probable cases,,,,,,,,,,,,,,,,
12/18/2014,Total confirmed cases,,,,,,,,,,,,,,,,
12/18/2014,"Total Number of Confirmed Cases 
 of Sierra Leonean Nationality",,,,,,,,,,,,,,,,
12/18/2014,"Total Number of Confirmed Cases 
 of Guinean Nationality",,,,,,,,,,,,,,,,
12/18/2014,"Cumulative confirmed, probable and suspected cases",7830,296,550,34,173,181,11,36,648,1225,23,4223,324,19,43,44
