Date,Variable,National,Bomi County,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Lofa County,Margibi County,Maryland County,Montserrado County,Nimba County,RiverCess County
7/31/2014,Specimens collected,5,,3,,,,,,,,2,,
7/31/2014,Specimens pending for testing,27,4,9,,,,,11,1,,2,,
7/31/2014,Total specimens tested,12,4,,,,,,8,,,,,
7/31/2014,Newly reported deaths,9,,0,,,,,2,,,7,0,0
7/31/2014,Total death/s in confirmed cases,101,6,4,,,,,45,2,,43,1,0
7/31/2014,Total death/s in probable cases,91,2,3,,,1,,36,,,46,2,1
7/31/2014,Total death/s in suspected cases,33,,1,,,,,14,2,,16,,0
7/31/2014,"Total death/s in confirmed, 
 probable, suspected cases",225,8,8,,,1,,95,4,,105,3,1
7/31/2014,"Case Fatality Rate (CFR) - 
 Confirmed & Probable Cases",59.1,34.8,26.9,,,,,,,,,,
7/31/2014,Newly reported contacts,9,,,,,,,9,0,,0,,
7/31/2014,Total contacts listed,893,46,51,,,,,222,25,,496,50,
7/31/2014,Currently under follow-up,826,45,51,,,,,216,5,,461,48,
7/31/2014,Contacts seen,695,31,,,,,,216,0,,400,48,
7/31/2014,"Contacts who completed 21 day 
 follow-up",7,1,,,,,,6,0,,,,
7/31/2014,Contacts lost to follow-up,15,15,,,,,,0,0,,,,
7/31/2014,New admissions,2,,,,,,,0,,,2,,
7/31/2014,"Total no. currently in Treatment 
 Units",47,,,,,,,32,,,15,,
7/31/2014,Total discharges,0,,,,,,,0,,,0,,
7/31/2014,Cumulative admission/isolation,47,,,,,,,32,,,15,,
7/31/2014,Newly Reported Cases in HCW,4,,3,,,,,,,,1,,
7/31/2014,Cumulative cases among HCW,59,4,23,,,,,15,,,16,,
7/31/2014,Newly Reported deaths in HCW,1,,,,,,,,,,1,1,
7/31/2014,Cumulative deaths among HCW,35,4,3,,,,,8,,,20,,
7/31/2014,New Case/s (Suspected),0,,,,,,,,,,,,
7/31/2014,New Case/s (Probable),43,,3,,,,,35,,,5,,
7/31/2014,New case/s (confirmed),0,,,,,,,,,,0,,
7/31/2014,Total suspected cases,101,,16,,,,,54,,,27,2,
7/31/2014,Total probable cases,222,16,16,,,1,,120,,,62,4,1
7/31/2014,Total confirmed cases,103,7,10,,,,,54,,,27,3,
7/31/2014,"Total Number of Conformed Cases 
 of Sierra Leonean Nationality",12,,,,,1,,11,,,0,,
7/31/2014,"Total Number of Conformed Cases 
 of Guinean Nationality",0,,,,,,,,,,0,,
