Date,Variable,National,Bomi County,Bong County,Grand Kru County,Lofa County,Margibi County,Maryland County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
6/25/2014,Specimens collected,"6
19
4",,,,4,0,,2,,,,
6/25/2014,Specimens pending for testing,,,,,17,0,,2,,,,
6/25/2014,Total specimens tested,,,,,4,0,,0,,,,
6/25/2014,Newly reported deaths,3,,,,2,0,,1,,,,
6/25/2014,Total death/s in confirmed cases,20,,,,10,0,,10,,,,
6/25/2014,Total death/s in probable cases,8,,,,4,0,,4,,,,
6/25/2014,Total death/s in suspected cases,9,,,,5,0,,4,,,,
6/25/2014,"Total death/s in confirmed, 
 probable, suspected cases",37,,,,19,0,0,18,,,,
6/25/2014,"Case Fatality Rate (CFR) - 
 Confirmed & Probable Cases",,,,,,,,,,,,
6/25/2014,Newly reported contacts,12,,,,0,0,,12,,,,
6/25/2014,Total contacts listed,268,,,,129,0,,139,,,,
6/25/2014,Currently under follow-up,236,,,,112,0,,124,,,,
6/25/2014,Contacts seen,112,,,,0,0,,112,,,,
6/25/2014,"Contacts who completed 21 day 
 follow-up",17,,,,17,0,,0,,,,
6/25/2014,Contacts lost to follow-up,15,,,,0,0,,15,,,,
6/25/2014,New admissions,2,,,,2,0,,0,,,,
6/25/2014,"Total no. currently in Treatment 
 Units",25,,,,20,0,,5,,,,
6/25/2014,Total discharges,0,,,,0,0,,0,,,,
6/25/2014,Cumulative admission/isolation,25,,,,20,0,,5,,,,
6/25/2014,Newly Reported Cases in HCW,2,,,,1,0,,1,,,,
6/25/2014,Cumulative cases among HCW,4,,,,1,0,,3,,,,
6/25/2014,Newly Reported deaths in HCW,1,,,,0,0,,1,,,,
6/25/2014,Cumulative deaths among HCW,3,,,,0,0,,3,,,,
6/25/2014,New Case/s (Suspected),4,,,,4,0,,0,,,,
6/25/2014,New Case/s (Probable),1,,,,0,1,,0,,,,
6/25/2014,New case/s (confirmed),2,,,,0,1,,1,,,,
6/25/2014,Total suspected cases,17,,,,17,0,,0,,,,
6/25/2014,Total probable cases,9,,,,4,1,,4,,,,
6/25/2014,Total confirmed cases,35,,,,21,1,,13,,,,
6/25/2014,"Total Number of Conformed Cases 
 of Sierra Leonean Nationality",4,,,,4,0,,0,,,,
6/25/2014,"Total Number of Conformed Cases 
 of Guinean Nationality",0,,,,0,0,,0,,,,
