Date,Variable,National,Bomi county,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Lofa County,Margibi County,Monteserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
9/2/2014,Specimens collected,5,,3,,,,,,,,1,1,,
9/2/2014,Specimens pending for testing,16,3,3,,,,,8,,,1,1,,
9/2/2014,Total specimens tested,29,,,,,,,,,29,,,,
9/2/2014,Newly reported deaths,47,,,,7,1,,5,5,29,,,,
9/2/2014,Total death/s in confirmed cases,414,19,11,,13,4,,146,25,169,27,,,
9/2/2014,Total death/s in probable cases,390,15,13,,3,2,,140,49,133,34,,1,
9/2/2014,Total death/s in suspected cases,247,,17,,3,3,2,34,37,135,11,5,,
9/2/2014,"Total death/s in confirmed, 
 probable, suspected cases",1051,34,41,,19,9,2,320,111,437,72,5,1,
9/2/2014,"Case Fatality Rate (CFR) - 
 Confirmed & Probable Cases",,,,,,,,,,,,,,
9/2/2014,Newly reported contacts,255,9,1,,28,,,4,47,157,,9,,
9/2/2014,Total contacts listed,5743,131,476,,61,30,,760,951,2990,329,9,6,
9/2/2014,Currently under follow-up,3134,32,294,,61,25,,226,860,1478,145,9,4,
9/2/2014,Contacts seen,3080,32,294,,61,25,,226,860,1432,145,5,,
9/2/2014,"Contacts who completed 21 day 
 follow-up",81,,,,,,,14,,67,,,,
9/2/2014,Contacts lost to follow-up,5,,,,,,,,,1,,4,,
9/2/2014,New admissions,17,,,,,,,,,17,,,,
9/2/2014,"Total no. currently in Treatment 
 Units",276,,,,,,,70,,206,,,,
9/2/2014,Total discharges,16,,,,,,,2,,14,,,,
9/2/2014,Cumulative admission/isolation,276,,,,,,,70,,206,,,,
9/2/2014,Newly Reported Cases in HCW,2,,,,,,,,,2,,,,
9/2/2014,Cumulative cases among HCW,151,5,26,,3,3,,20,32,59,3,,,
9/2/2014,Newly Reported deaths in HCW,,,,,,,,,,,,,,
9/2/2014,Cumulative deaths among HCW,74,4,5,,1,,,17,19,28,,,,
9/2/2014,New Case/s (Suspected),35,,2,,3,,,,7,22,,1,,
9/2/2014,New Case/s (Probable),38,,4,,1,,,10,7,13,,3,,
9/2/2014,New case/s (confirmed),3,,,,2,,,,,,1,,,
9/2/2014,Total suspected cases,366,1,83,1,21,2,3,63,126,42,17,6,,1
9/2/2014,Total probable cases,883,31,40,,12,4,,345,89,309,50,3,,
9/2/2014,Total confirmed cases,590,31,24,,13,4,,220,30,225,41,,1,1
9/2/2014,"Total Number of Conformed Cases 
 of Sierra Leonean Nationality",13,,,,,2,,11,,,,,,
9/2/2014,"Total Number of Conformed Cases 
 of Guinean Nationality",1,,,,,,,,,1,,,,
