,Bomi County,Bomi county,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Lofa County,Margibi County,Maryland County,Monteserrado County,Montserrado County,National,Nimba County,River Gee County,RiverCess County,Sinoe County
2014-06-16,,,,,,,,14.0,,,,8.0,22.0,,,,
2014-06-17,,,,,,,,18.0,,,,10.0,26.0,,,,
2014-06-18,,,,,,,,20.6,,,,10.2,,,,,
2014-06-19,,,,,,,,23.2,,,,10.4,,,,,
2014-06-20,,,,,,,,25.8,,,,10.6,,,,,
2014-06-21,,,,,,,,28.4,,,,10.8,,,,,
2014-06-22,,,,,,,,31.0,,,,11.0,42,,,,
2014-06-23,,,,,,,,34.5,,,,13.5,,,,,
2014-06-24,,,,,,,,38.0,,,,16.0,54.0,,,,
2014-06-25,,,,,,,,42.0,2.0,,,17.0,17935,,,,
2014-06-26,,,,,,,,48.333333333333336,2.3333333333333335,,,19.333333333333332,,,,,
2014-06-27,,,,,,,,54.666666666666664,2.6666666666666665,,,21.666666666666668,,,,,
2014-06-28,,,,,,,,61.0,3.0,,,24.0,88,,,,
2014-06-29,,,,,,,,61.0,3.0,,,26.0,90.0,,,,
2014-06-30,,,,,,,,62.5,3.0,,,29.5,,,,,
2014-07-01,,,,,,,,64.0,3.0,,,33.0,100.0,,,,
2014-07-02,,,,,,,,67.0,3.0,,,34.0,104.0,,,,
2014-07-03,,,,,,,,67.0,3.0,,,38.0,108.0,,,,
2014-07-04,,,,,,,,71.75,3.0,,,38.75,,,,,
2014-07-05,,,,,,,,76.5,3.0,,,39.5,,,,,
2014-07-06,,,,,,,,81.25,3.0,,,40.25,,,,,
2014-07-07,,,,,,,,86.0,3.0,,,41.0,130.0,,,,
2014-07-08,,,,,,,,86.0,3.0,,,44.0,133.0,,,,
2014-07-09,,,,,,,,86.5,3.0,,,45.0,,,,,
2014-07-10,1.0,,,,,,,87.0,3.0,,,46.0,137.0,,,,
2014-07-11,1.0,,,,,,,92.66666666666667,3.0,,,49.0,,,,,
2014-07-12,1.0,,,,,,,98.33333333333333,3.0,,,52.0,,,,,
2014-07-13,1.0,,,,,,,104.0,3.0,,,55.0,164.0,1.0,,,
2014-07-14,1.25,,,,,,,106.25,3.0,,,57.0,,1.5,,,
2014-07-15,1.5,,,,,,,108.5,3.0,,,59.0,,2.0,,,
2014-07-16,1.75,,,,,,,110.75,3.0,,,61.0,,2.5,,,
2014-07-17,2.0,,4.0,,,,,113.0,3.0,,,63.0,188.0,3.0,,,
2014-07-18,2.0,,9.0,,,,,114.66666666666667,3.0,,,65.33333333333333,,3.3333333333333335,,,
2014-07-19,2.0,,14.0,,,,,116.33333333333333,3.0,,,67.66666666666667,,3.6666666666666665,,,
2014-07-20,2.0,,19.0,,,,,118.0,3.0,,,70.0,216.0,4.0,,,
2014-07-21,2.0,,23.0,,,,,124.0,3.25,,,70.0,,4.0,,,
2014-07-22,2.0,,27.0,,,,,130.0,3.5,,,70.0,,4.0,,,
2014-07-23,2.0,,31.0,,,,,136.0,3.75,,,70.0,,4.0,,,
2014-07-24,2.0,13.0,35.0,,,,1.0,142.0,4.0,,89.0,70.0,288.0,4.0,,,
2014-07-25,2.0,16.0,37.0,,,,1.0,144.0,5.0,,90.5,70.0,,4.0,,,
2014-07-26,2.0,19.0,39.0,,,,1.0,146.0,6.0,,92.0,70.0,307.0,4.0,,,
2014-07-27,2.0,20.11111111111111,39.6,,,,1.85,162.4,6.428571428571429,,96.8,70.0,,5.0,,,
2014-07-28,2.0,21.22222222222222,40.2,,,,2.7,178.8,6.857142857142857,,101.6,70.0,,6.0,,,
