Country,Admin1_Name,Admin1_PCODE,Admin2_Name,Admin2_PCODE,City/Locations,Acronym,Organisation,Type,Sectors,Activity / Project,Status Activities,Comments,
Nigeria,Lagos,NGA025,,,,CDC,US Center for Disease Control,Goverment,Surveillance/Contact Tracing,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Nigeria,Lagos,NGA025,,,,CDC,US Center for Disease Control,Goverment,Social Mobilisation/Health Promotion,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Nigeria,Lagos,NGA025,,,,MoH,Ministry of Health,Goverment,Surveillance/Contact Tracing,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Nigeria,Lagos,NGA025,,,,MoH,Ministry of Health,Goverment,Safe burial,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Nigeria,Lagos,NGA025,,,,MoH,Ministry of Health,Goverment,Social Mobilisation/Health Promotion,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Nigeria,Lagos,NGA025,,,,MoH,Ministry of Health,Goverment,Coordination,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Nigeria,Rivers,NGA033,Port-Harcourt,NGA033022,,MoH,Ministry of Health,Goverment,Surveillance/Contact Tracing,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Nigeria,Rivers,NGA033,Port-Harcourt,NGA033022,,MoH,Ministry of Health,Goverment,Social Mobilisation/Health Promotion,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Nigeria,Rivers,NGA033,Port-Harcourt,NGA033022,,MoH,Ministry of Health,Goverment,Coordination,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Nigeria,Lagos,NGA025,,,,MSF,Medecins sans Frontieres,International NGO,Surveillance/Contact Tracing,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Nigeria,Lagos,NGA025,,,,MSF,Medecins sans Frontieres,International NGO,Social Mobilisation/Health Promotion,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Nigeria,Lagos,NGA025,,,,NFELTP,Nigeria Field Epidemiology and Laboratory Training Program,National Organization,Surveillance/Contact Tracing,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Nigeria,Lagos,NGA025,,,,UNICEF,United Nations Children's Fund,UN Agency,Social Mobilisation/Health Promotion,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Nigeria,Lagos,NGA025,,,,WHO,World Health Organization,UN Agency,Social Mobilisation/Health Promotion,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Nigeria,Lagos,NGA025,,,,WHO,World Health Organization,UN Agency,Coordination,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Nigeria,Rivers,NGA033,Port-Harcourt,NGA033022,,WHO,World Health Organization,UN Agency,Social Mobilisation/Health Promotion,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Nigeria,Rivers,NGA033,Port-Harcourt,NGA033022,,WHO,World Health Organization,UN Agency,Coordination,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Liberia,,,,,,ACDI/VOCA,ACDI/VOCA,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Montserrado,LBR11,,,,ACF,Action Against Hunger,International Organization,Case Management,,,,
Liberia,Montserrado,LBR11,,,,ACF,Action Against Hunger,International Organization,Surveillance/Contact Tracing,,,,
Liberia,,,,,,ACF,Action Against Hunger,International Organization,Case Management,"Providing food at some established treatment centres, as well as disinfectants, gloves and trainings.",,,
Liberia,,,,,,ACF,Action Against Hunger,International Organization,Coordination,Provided a vehicle and two rapid response officers to work with the County Health Team.,,,
Liberia,,,,,,ACF,Action Against Hunger,International Organization,Social Mobilisation/Health Promotion,Strengthening capacity and providing support to community awareness.,,,
Liberia,,,,,,ACF,Action Against Hunger,International Organization,Surveillance/Contact Tracing,,,,
Liberia,Bomi,LBR01,,,,ActionAid Liberia,ActionAid Liberia,International NGO,Case Management,"ActionAid Liberia and 2 partners - Public Health Initiative of Liberia (PHIL) and Mano River Youth programme - are working on: (1) provision of sanitization supplies and solidarity packs and (2) social mobilization and community sensitization in 6 health districts within 3 counties (Montserrado, Margibi and Bomi). The locations are considered hotspot and were suggested by MoHSW.",,,
Liberia,Bomi,LBR01,,,,ActionAid Liberia,ActionAid Liberia,International NGO,Coordination,,,,
Liberia,Bomi,LBR01,,,,ActionAid Liberia,ActionAid Liberia,International NGO,Social Mobilisation/Health Promotion,,,,
