date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National
10/2/2014,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,,,
10/2/2014,new_noncase,0,1,5,0,0,0,0,3,0,2,0,0,7,7,25
10/2/2014,new_suspected,0,2,2,0,0,0,0,1,0,1,0,0,2,2,10
10/2/2014,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/2/2014,new_confirmed,1,1,3,0,0,0,0,10,0,1,1,0,10,6,33
10/2/2014,cum_noncase,281,608,45,6,29,109,45,124,5,98,43,1,348,152,1894
10/2/2014,cum_suspected,18,39,43,1,0,12,11,18,1,23,12,2,35,16,231
10/2/2014,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,1,0,37
10/2/2014,cum_confirmed,530,429,23,18,0,227,78,305,19,96,58,1,253,175,2212
10/2/2014,death_suspected,4,4,1,0,0,0,0,1,0,0,0,0,1,0,11
10/2/2014,death_probable,35,0,0,0,0,0,0,1,0,0,0,0,1,0,37
10/2/2014,death_confirmed,216,232,2,1,0,14,6,18,4,17,8,1,9,4,532
10/2/2014,cfr,41,54,0,6,0,6,8,6,21,18,14,100,4,2,24
10/2/2014,etc_new_admission,,,,,,,,,,,,,,,13
10/2/2014,etc_currently_admitted,,,,,,,,,,,,,,,102
10/2/2014,etc_cum_admission,,,,,,,,,,,,,,,1314
10/2/2014,etc_new_deaths,,,,,,,,,,,,,,,4
10/2/2014,etc_cum_deaths,,,,,,,,,,,,,,,512
10/2/2014,etc_new_discharges,,,,,,,,,,,,,,,18
10/2/2014,etc_cum_discharges,,,,,,,,,,,,,,,459
10/2/2014,cum_contacts,1767,2818,345,339,,1160,1465,2752,537,846,481,102,1329,680,14621
10/2/2014,cum_completed_contacts,1212,2516,140,50,,319,352,524,284,661,246,87,696,252,7339
10/2/2014,contacts_followed,555,271,204,289,,841,1113,2704,253,185,197,15,633,428,7688
10/2/2014,new_contacts,14,13,0,0,,23,0,73,0,0,0,0,14,16,153
10/2/2014,contacts_healthy,552,266,191,289,,832,1113,2073,253,183,196,15,515,407,6885
10/2/2014,contacts_ill,0,1,13,0,,7,0,18,0,2,1,0,2,0,44
10/2/2014,contacts_not_seen,3,5,0,0,,2,0,48,0,0,0,0,118,21,197
10/2/2014,new_completed_contacts,8,7,0,0,,0,0,0,0,0,0,0,10,66,91
10/2/2014,percent_seen,100%,99%,98%,100%,,98%,100%,98%,100%,100%,100%,100%,98%,98%,98%
