date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Western area combined
10/28/2014,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350,1304507
10/28/2014,new_noncase,3,16,0,2,3,8,3,1,0,0,2,0,6,3,47,
10/28/2014,new_suspected,0,2,0,0,4,0,0,1,1,1,2,0,9,0,20,
10/28/2014,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10/28/2014,new_confirmed,0,4,0,5,2,11,6,4,2,0,3,0,6,4,47,
10/28/2014,cum_noncase,307,795,85,21,42,317,85,242,11,186,81,2,824,406,3404,
10/28/2014,cum_suspected,18,84,58,4,9,75,38,48,10,63,30,3,75,38,553,
10/28/2014,cum_probable,32,0,1,0,32,6,4,1,0,1,1,0,1,0,79,
10/28/2014,cum_confirmed,551,488,38,36,15,541,199,518,28,169,96,2,601,478,3760,
10/28/2014,death_suspected,4,4,2,6,0,22,4,74,3,8,9,1,8,12,157,
10/28/2014,death_probable,35,0,19,9,32,19,21,1,2,43,20,1,4,2,208,
10/28/2014,death_confirmed,225,252,18,9,7,141,46,77,16,59,33,1,91,82,1057,
10/28/2014,cfr,40.8,51.6,47.4,25.0,46.7,26.1,23.1,14.9,57.1,34.9,34.4,50.0,15.1,17.2,28.1,
10/28/2014,etc_new_admission,11,,,,,,,,,,,,,,,
10/28/2014,etc_currently_admitted,44,,,,,,,,,,,,,,,
10/28/2014,etc_cum_admission,924,,,,,,,,,93,,,,,,
10/28/2014,etc_new_deaths,1,,,,,,,,,,,,,,,
10/28/2014,etc_cum_deaths,247,,,,,,,,,27,,,,,,
10/28/2014,etc_new_discharges,2,,,,,,,,,,,,,,,
10/28/2014,etc_cum_discharges,224,,,,,,,,,38,,,,,,
10/28/2014,cum_contacts,2338,3125,560,525,58,2581,2689,5472,977,1034,1027,125,3353,2797,26661,
10/28/2014,cum_completed_contacts,1835,2676,293,385,0,1681,1007,772,939,686,782,105,1692,1361,14214,
10/28/2014,contacts_followed,503,328,264,130,55,900,1682,4700,31,322,245,20,1661,1436,12277,
10/28/2014,new_contacts,0,3,0,0,0,0,64,181,0,0,17,0,228,75,568,
10/28/2014,contacts_healthy,503,328,260,130,55,888,1676,4667,31,321,245,20,1377,860,11361,
10/28/2014,contacts_ill,0,0,4,0,0,4,6,11,0,1,0,0,0,6,32,
10/28/2014,contacts_not_seen,0,0,0,0,2,8,0,22,0,0,0,0,284,576,892,
10/28/2014,new_completed_contacts,0,6,0,0,0,0,122,14,0,0,7,0,19,60,228,
10/28/2014,percent_seen,100%,99%,98%,100%,99%,98%,100%,98%,100%,100%,100%,100%,98%,98%,98%,
10/28/2014,total_lab_samples,,,,,,,,,,,,,,,151,
10/28/2014,repeat_samples,,,,,,,,,,,,,,,37,
10/28/2014,new_samples,,,,,,,,,,,,,,,114,
10/28/2014,new_positive,,,,,,,,,,,,,,,47,
10/28/2014,new_negative,,,,,,,,,,,,,,,47,
10/28/2014,pending,,,,,,,,,,,,,,,20,
10/28/2014,positive_corpse,0,0,0,3,1,2,3,4,0,0,1,0,4,1,19,
10/28/2014,negative_corpse,0,15,0,1,0,6,0,1,0,0,2,0,5,0,30,
