date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Western area combined,
2014-11-25,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350,1304507,
2014-11-25,new_noncase,2,9,0,2,8,21,10,0,1,17,0,9,41,21,141,,
2014-11-25,new_suspected,0,3,0,0,2,0,0,0,2,0,0,0,7,3,17,,
2014-11-25,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2014-11-25,new_confirmed,0,0,0,0,4,14,10,3,0,3,0,0,22,15,71,,
2014-11-25,cum_noncase,323,1051,124,59,72,650,243,645,19,466,207,29,1657,829,6374,,
2014-11-25,cum_suspected,18,109,78,19,21,103,71,185,12,104,48,6,234,120,1128,,
2014-11-25,cum_probable,32,0,1,0,32,6,4,1,0,1,1,0,1,0,79,,
2014-11-25,cum_confirmed,561,494,73,68,82,787,347,808,30,247,158,3,1146,791,5595,,
2014-11-25,death_suspected,4,5,2,6,0,22,4,74,3,8,9,1,8,12,158,,
2014-11-25,death_probable,35,0,19,9,32,19,21,1,2,43,20,1,4,2,208,,
2014-11-25,death_confirmed,228,261,29,21,24,190,78,144,16,73,40,2,186,137,1429,,
2014-11-25,cfr,40.6,52.8,39.7,30.9,29.3,24.1,22.5,17.8,53.3,29.6,25.3,66.7,16.2,17.3,25.5,,
2014-11-25,etc_new_admission,,,,,,,,,,,,,,,,,
2014-11-25,etc_currently_admitted,,,,,,,,,,,,,,,,,
2014-11-25,etc_cum_admission,,,,,,,,,,,,,,,,,
2014-11-25,etc_new_deaths,,,,,,,,,,,,,,,,,
2014-11-25,etc_cum_deaths,,,,,,,,,,,,,,,,,
2014-11-25,etc_new_discharges,,,,,,,,,,,,,,,,,
2014-11-25,etc_cum_discharges,,,,,,,,,,,,,,,,,
2014-11-25,cum_contacts,3164,3218,1059,759,255,6071,3079,7914,1222,1583,1631,165,9334,6008,45462,,
2014-11-25,cum_completed_contacts,2519,3033,454,670,8,4520,1863,1571,1103,995,1375,125,5442,4181,27859,,
2014-11-25,contacts_followed,645,53,605,89,247,1363,1216,6343,119,534,256,40,3223,1656,16389,,
2014-11-25,new_contacts,25,0,0,0,0,64,0,12,0,23,25,0,546,122,817,,
2014-11-25,contacts_healthy,645,53,587,87,247,1363,1216,6285,119,534,0,40,2657,1533,15366,,
2014-11-25,contacts_ill,0,0,18,2,0,0,0,4,0,0,0,0,2,0,26,,
2014-11-25,contacts_not_seen,0,0,0,0,0,0,0,54,0,0,0,0,18,1,73,,
2014-11-25,new_completed_contacts,5,8,0,0,0,89,0,0,0,0,79,0,293,281,755,,
2014-11-25,percent_seen,100%,99%,98%,100%,99%,98%,100%,98%,100%,100%,100%,100%,98%,98%,97%,,
2014-11-25,total_lab_samples,,,,,,,,,,,,,,,255,,
2014-11-25,repeat_samples,,,,,,,,,,,,,,,26,,
2014-11-25,new_samples,,,,,,,,,,,,,,,229,,
2014-11-25,new_positive,,,,,,,,,,,,,,,71,,
2014-11-25,new_negative,,,,,,,,,,,,,,,141,,
2014-11-25,pending,,,,,,,,,,,,,,,17,,
2014-11-25,positive_corpse,0,0,0,0,1,3,4,3,0,3,0,0,12,3,29,,
2014-11-25,negative_corpse,0,8,0,0,7,13,6,0,1,13,0,9,26,15,98,,
