date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National
8/13/2014,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350
8/13/2014,new_noncase,0,3,0,0,0,0,0,1,0,0,0,0,0,0,4
8/13/2014,new_suspected,0,9,0,0,0,0,0,0,0,1,0,0,0,0,10
8/13/2014,new_probable,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
8/13/2014,new_confirmed,0,9,0,0,0,0,0,2,0,0,0,0,0,0,11
8/13/2014,cum_noncase,201,269,15,1,15,10,10,7,2,54,12,0,56,5,657
8/13/2014,cum_suspected,0,10,33,0,0,1,0,0,0,2,0,0,0,0,46
8/13/2014,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,1,0,37
8/13/2014,cum_confirmed,378,259,1,1,0,7,2,24,3,22,5,1,13,1,717
8/13/2014,death_suspected,2,1,0,0,0,0,0,1,0,0,0,0,1,0,5
8/13/2014,death_probable,32,0,0,0,0,0,0,1,0,0,0,0,1,0,34
8/13/2014,death_confirmed,151,104,0,0,0,1,0,1,0,2,3,0,2,0,264
8/13/2014,cfr,39.9,40.2,0,0,0,14.3,0,4.2,0,9.1,60,0,15.4,0,36.8
8/13/2014,etc_new_admission,16,7,,,,,,,,,,,,,
8/13/2014,etc_currently_admitted,53,41,,,,,,,,,,,,,
8/13/2014,etc_cum_admission,341,303,,,,,,,,,,,,,
8/13/2014,etc_new_deaths,5,3,,,,,,,,,,,,,
8/13/2014,etc_cum_deaths,104,154,,,,,,,,,,,,,
8/13/2014,etc_new_discharges,7,2,,,,,,,,,,,,,
8/13/2014,etc_cum_discharges,134,59,,,,,,,,,,,,,
8/13/2014,cum_contacts,,"1,356",38,0,0,161,16,471,57,227,73,26,390,23,2838
8/13/2014,cum_completed_contacts,,701,38,0,0,16,0,7,10,67,0,26,82,0,901
8/13/2014,contacts_followed,321,497,0,0,0,161,11,466,47,160,73,0,310,23,2255
8/13/2014,new_contacts,321,73,0,0,0,5,5,308,0,6,0,0,25,0,743
8/13/2014,contacts_healthy,305,427,0,0,0,141,11,443,47,157,73,0,103,23,1937
8/13/2014,contacts_ill,11,3,0,0,0,0,0,0,0,0,0,0,0,0,14
8/13/2014,contacts_not_seen,16,64,0,0,0,20,0,28,0,3,0,0,0,0,131
8/13/2014,new_completed_contacts,12,38,0,0,0,16,0,0,1,0,0,0,6,0,73
8/13/2014,percent_seen,98%,61%,NA,NA,NA,97%,100%,95%,100%,98%,100%,NA,101%,100%,87%
