date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National
2014-12-17,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350
2014-12-17,new_noncase,,,,,,,,,,,,,,,
2014-12-17,new_suspected,,,,,,,,,,,,,,,
2014-12-17,new_probable,,,,,,,,,,,,,,,
2014-12-17,new_confirmed,,,,,,,,,,,,,,,
2014-12-17,cum_noncase,,,,,,,,,,,,,,,
2014-12-17,cum_suspected,18,127,114,27,29,122,85,282,17,124,73,10,388,200,1616
2014-12-17,cum_probable,67,0,20,9,64,25,25,2,2,44,21,1,5,2,287
2014-12-17,cum_confirmed,565,496,135,102,90,917,400,1080,31,297,174,4,"1,600",965,6856
2014-12-17,death_suspected,,,,,,,,,,,,,,,
2014-12-17,death_probable,,,,,,,,,,,,,,,
2014-12-17,death_confirmed,,,,,,,,,,,,,,,
2014-12-17,cfr,,,,,,,,,,,,,,,
2014-12-17,etc_new_admission,,,,,,,,,,,,,,,
2014-12-17,etc_currently_admitted,,,,,,,,,,,,,,,
2014-12-17,etc_cum_admission,,,,,,,,,,,,,,,
2014-12-17,etc_new_deaths,,,,,,,,,,,,,,,
2014-12-17,etc_cum_deaths,,,,,,,,,,,,,,,
2014-12-17,etc_new_discharges,,,,,,,,,,,,,,,
2014-12-17,etc_cum_discharges,,,,,,,,,,,,,,,
2014-12-17,cum_contacts,,,,,,,,,,,,,,,
2014-12-17,cum_completed_contacts,,,,,,,,,,,,,,,
2014-12-17,contacts_followed,,,,,,,,,,,,,,,
2014-12-17,new_contacts,,,,,,,,,,,,,,,
2014-12-17,contacts_healthy,,,,,,,,,,,,,,,
2014-12-17,contacts_ill,,,,,,,,,,,,,,,
2014-12-17,contacts_not_seen,,,,,,,,,,,,,,,
2014-12-17,new_completed_contacts,,,,,,,,,,,,,,,
2014-12-17,percent_seen,,,,,,,,,,,,,,,
2014-12-17,total_lab_samples,,,,,,,,,,,,,,,
2014-12-17,repeat_samples,,,,,,,,,,,,,,,
2014-12-17,new_samples,,,,,,,,,,,,,,,
2014-12-17,new_positive,,,,,,,,,,,,,,,
2014-12-17,new_negative,,,,,,,,,,,,,,,
2014-12-17,pending,,,,,,,,,,,,,,,
2014-12-17,positive_corpse,,,,,,,,,,,,,,,
2014-12-17,negative_corpse,,,,,,,,,,,,,,,
