date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National
41916,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350
41916,new_noncase,,,,,,,,,,,,,,,
41916,new_suspected,,,,,,,,,,,,,,,
41916,new_probable,,,,,,,,,,,,,,,
41916,new_confirmed,0,0,0,0,0,14,0,4,0,0,0,0,11,6,35
41916,cum_noncase,,,,,,,,,,,,,,,
41916,cum_suspected,,,,,,,,,,,,,,,231
41916,cum_probable,,,,,,,,,,,,,,,37
41916,cum_confirmed,530,431,23,21,0,241,86,309,21,101,60,1,270,187,2281
41916,death_suspected,,,,,,,,,,,,,,,11
41916,death_probable,,,,,,,,,,,,,,,37
41916,death_confirmed,,,,,,,,,,,,,,,557
41916,cfr,,,,,,,,,,,,,,,
41916,etc_new_admission,,,,,,,,,,,,,,,
41916,etc_currently_admitted,,,,,,,,,,,,,,,
41916,etc_cum_admission,,,,,,,,,,,,,,,
41916,etc_new_deaths,,,,,,,,,,,,,,,
41916,etc_cum_deaths,,,,,,,,,,,,,,,
41916,etc_new_discharges,,,,,,,,,,,,,,,
41916,etc_cum_discharges,,,,,,,,,,,,,,,468
41916,cum_contacts,,,,,,,,,,,,,,,
41916,cum_completed_contacts,,,,,,,,,,,,,,,
41916,contacts_followed,,,,,,,,,,,,,,,
41916,new_contacts,,,,,,,,,,,,,,,
41916,contacts_healthy,,,,,,,,,,,,,,,
41916,contacts_ill,,,,,,,,,,,,,,,
41916,contacts_not_seen,,,,,,,,,,,,,,,
41916,new_completed_contacts,,,,,,,,,,,,,,,
41916,percent_seen,,,,,,,,,,,,,,,
