date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Kenema (IFRC)
9/16/2014,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350,
9/16/2014,new_noncase,7,3,1,0,0,0,1,7,0,0,9,0,10,5,43,
9/16/2014,new_suspected,0,0,2,0,0,0,0,0,0,0,0,0,0,2,4,
9/16/2014,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9/16/2014,new_confirmed,1,1,0,0,0,0,0,12,0,0,0,0,13,2,29,
9/16/2014,cum_noncase,280,489,26,5,24,30,29,46,4,84,37,1,184,62,1301,
9/16/2014,cum_suspected,18,29,39,0,0,4,2,4,1,11,2,0,8,6,124,
9/16/2014,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,1,0,37,
9/16/2014,cum_confirmed,529,409,15,3,0,113,32,155,10,76,17,1,127,55,1542,
9/16/2014,death_suspected,4,4,1,0,0,0,0,1,0,0,0,0,1,0,11,
9/16/2014,death_probable,35,0,0,0,0,0,0,1,0,0,0,0,1,0,37,
9/16/2014,death_confirmed,191,225,2,1,0,6,2,16,1,16,6,1,5,2,474,
9/16/2014,cfr,36.1,55,0,33.3,0,5.3,6.3,10.3,10,21.1,35.3,100,3.9,3.6,30.7,
9/16/2014,etc_new_admission,26,3,,,,,,,,,,,,,,0
9/16/2014,etc_currently_admitted,41,39,,,,,,,,,,,,,,3
9/16/2014,etc_cum_admission,540,466,,,,,,,,,,,,,,5
9/16/2014,etc_new_deaths,2,2,,,,,,,,,,,,,,2
9/16/2014,etc_cum_deaths,192,236,,,,,,,,,,,,,,2
9/16/2014,etc_new_discharges,5,20,,,,,,,,,,,,,,0
9/16/2014,etc_cum_discharges,100,249,,,,,,,,,,,,,,0
9/16/2014,cum_contacts,1458,2577,192,85,,680,593,1673,333,681,218,84,828,266,9668,
9/16/2014,cum_completed_contacts,1120,1940,80,12,,219,182,258,205,514,164,32,436,41,5203,
9/16/2014,contacts_followed,166,656,112,85,,461,451,1415,128,167,54,64,402,255,4416,
9/16/2014,new_contacts,16,2,0,0,,16,40,31,0,18,0,0,22,13,158,
9/16/2014,contacts_healthy,165,656,105,85,,457,450,1315,128,167,54,64,402,255,4303,
9/16/2014,contacts_ill,1,0,7,0,,4,1,6,0,0,0,0,0,0,19,
9/16/2014,contacts_not_seen,0,0,0,0,,0,0,94,0,0,0,0,0,0,94,
9/16/2014,new_completed_contacts,4,71,0,0,,13,0,0,10,16,0,0,0,0,114,
9/16/2014,percent_seen,100.00%,100.00%,100.00%,100.00%,,99.00%,100.00%,93.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,98.00%,
