date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Kenema (IFRC)
9/18/2014,population,"465,048","653,013","325,003","341,690","335,471","494,139","434,937","557,978","335,574","654,142","278,119","168,729","1,040,888","263,619","6,348,350",
9/18/2014,new_noncase,0,2,0,0,0,9,2,5,0,1,0,0,10,1,30,
9/18/2014,new_suspected,0,0,0,0,0,1,0,0,0,0,2,0,2,0,5,
9/18/2014,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9/18/2014,new_confirmed,0,2,0,1,0,9,4,5,0,0,7,0,7,1,36,
9/18/2014,cum_noncase,280,498,26,5,24,39,32,51,4,86,37,1,199,63,"1,345",
9/18/2014,cum_suspected,18,27,39,0,0,6,2,4,1,12,4,1,10,7,131,
9/18/2014,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,1,0,37,
9/18/2014,cum_confirmed,529,412,15,4,0,122,39,160,10,77,24,1,136,56,"1,585",
9/18/2014,death_suspected,4,4,1,0,0,0,0,1,0,0,0,0,1,0,11,
9/18/2014,death_probable,35,0,0,0,0,0,0,1,0,0,0,0,1,0,37,
9/18/2014,death_confirmed,199,229,2,1,0,6,2,16,1,16,6,1,7,3,489,
9/18/2014,cfr,37.6,55.6,0,25,0,4.9,5.1,10,10,20.8,25,100,5.1,5.4,30.9,
9/18/2014,etc_new_admission,7,0,,,,,,,,,,,,,,10
9/18/2014,etc_currently_admitted,34,3,,,,,,,,,,,,,,37
9/18/2014,etc_cum_admission,476,5,,,,,,,,,,,,,,556
9/18/2014,etc_new_deaths,0,0,,,,,,,,,,,,,,4
9/18/2014,etc_cum_deaths,240,2,,,,,,,,,,,,,,200
9/18/2014,etc_new_discharges,11,0,,,,,,,,,,,,,,14
9/18/2014,etc_cum_discharges,260,0,,,,,,,,,,,,,,104
9/18/2014,cum_contacts,1422,2618,193,97,,765,593,1788,333,681,206,89,909,366,10060,
9/18/2014,cum_completed_contacts,1105,2020,80,12,,247,197,258,228,529,149,32,466,104,5427,
9/18/2014,contacts_followed,166,615,114,97,,518,451,1530,108,157,55,57,443,262,4573,
9/18/2014,new_contacts,0,0,1,0,,54,0,43,0,0,0,7,11,49,165,
9/18/2014,contacts_healthy,166,615,110,97,,497,451,1395,108,157,55,57,391,204,4303,
9/18/2014,contacts_ill,0,0,3,0,,13,0,2,0,0,0,0,15,0,33,
9/18/2014,contacts_not_seen,0,17,0,0,,8,0,133,0,0,0,0,37,58,253,
9/18/2014,new_completed_contacts,4,44,0,0,,12,15,0,20,15,0,0,23,0,133,
9/18/2014,percent_seen,100.00%,99.00%,100.00%,100.00%,,99.00%,100.00%,86.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,98.00%,
