date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Kenema (IFRC),34 Military Hospital,Police traning School
9/23/2014,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350,,,
9/23/2014,new_noncase,0,10,0,0,0,0,2,0,0,0,0,0,15,7,34,,,
9/23/2014,new_suspected,0,0,0,0,0,0,1,0,0,2,0,0,0,0,3,,,
9/23/2014,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
9/23/2014,new_confirmed,0,1,0,0,0,0,3,0,0,6,1,0,7,12,30,,,
9/23/2014,cum_noncase,280,540,30,5,25,49,38,64,4,86,37,1,260,90,1509,,,
9/23/2014,cum_suspected,18,33,39,0,0,10,3,6,1,19,5,2,12,7,155,,,
9/23/2014,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,1,0,37,,,
9/23/2014,cum_confirmed,529,417,18,10,0,148,59,187,13,83,42,1,172,96,1775,,,
9/23/2014,death_suspected,4,4,1,0,0,0,0,1,0,0,0,0,1,0,11,,,
9/23/2014,death_probable,35,0,0,0,0,0,0,1,0,0,0,0,1,0,37,,,
9/23/2014,death_confirmed,210,229,2,1,0,8,3,17,1,16,7,1,8,3,506,,,
9/23/2014,cfr,39.7,54.9,0,10,0,5.4,5.1,9.1,7.7,19.3,16.7,100,4.7,3.1,29,,,
9/23/2014,etc_new_admission,16,1,,,,,,,,,,,,,,0,,
9/23/2014,etc_currently_admitted,53,31,,,,,,,,,,,,,,12,,
9/23/2014,etc_cum_admission,639,500,,,,,,,,,,,,,,27,,
9/23/2014,etc_new_deaths,2,2,,,,,,,,,,,,,,2,,
9/23/2014,etc_cum_deaths,215,244,,,,,,,,,,,,,,8,,
9/23/2014,etc_new_discharges,7,8,,,,,,,,,,,,,,0,,
9/23/2014,etc_cum_discharges,118,279,,,,,,,,,,,,,,0,,
9/23/2014,cum_contacts,1606,2727,255,162,,938,1376,2140,409,681,353,89,989,400,12125,,,
9/23/2014,cum_completed_contacts,1169,2169,140,12,,276,217,387,240,540,178,32,600,114,6074,,,
9/23/2014,contacts_followed,167,511,115,160,,662,1159,1753,169,141,175,57,389,286,5744,,,
9/23/2014,new_contacts,21,31,27,60,,44,0,193,0,0,0,0,25,18,419,,,
9/23/2014,contacts_healthy,167,495,113,160,,651,1159,1575,169,140,175,57,339,262,5462,,,
9/23/2014,contacts_ill,0,1,2,0,,11,0,104,0,1,0,0,4,3,126,,,
9/23/2014,contacts_not_seen,0,0,0,0,,0,0,78,0,0,0,0,26,21,125,,,
9/23/2014,new_completed_contacts,3000.00%,800.00%,0.00%,0.00%,,1300.00%,2000.00%,1900.00%,0.00%,0.00%,0.00%,0.00%,11600.00%,0.00%,20600.00%,,,
9/23/2014,percent_seen,100%,98%,99%,100%,,98%,100%,98%,100%,100%,100%,100%,98%,98%,98%,,,
