date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Kenema (IFRC),34 Military Hospital,Police traning School
9/27/2014,population,"465,048","653,013","325,003","341,690","335,471","494,139","434,937","557,978","335,574","654,142","278,119","168,729","1,040,888","263,619","6,348,350",,,
9/27/2014,new_noncase,0,5,0,0,0,11,0,0,0,0,4,0,1,0,21,,,
9/27/2014,new_suspected,0,5,0,0,0,1,0,0,0,0,3,0,0,0,9,,,
9/27/2014,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
9/27/2014,new_confirmed,0,3,0,0,0,16,0,0,0,1,3,0,0,0,23,,,
9/27/2014,cum_noncase,280,584,35,5,26,89,40,91,4,88,42,1,298,112,"1,695",,,
9/27/2014,cum_suspected,18,33,40,1,0,6,4,10,1,18,12,2,14,9,168,,,
9/27/2014,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,1,0,37,,,
9/27/2014,cum_confirmed,529,426,18,12,0,196,65,231,16,84,54,1,195,117,"1,944",,,
9/27/2014,death_suspected,4,4,1,0,0,0,0,1,0,0,0,0,1,0,11,,,
9/27/2014,death_probable,35,0,0,0,0,0,0,1,0,0,0,0,1,0,37,,,
9/27/2014,death_confirmed,210,230,2,1,0,10,5,17,1,16,7,1,9,4,513,,,
9/27/2014,cfr,39.7,54,0,8.3,0,5.1,7.7,7.4,6.3,19,13,100,4.6,3.4,26.4,,,
9/27/2014,etc_new_admission,6,1,,,,,,,,,,,,,,0,,
9/27/2014,etc_currently_admitted,56,27,,,,,,,,,,,,,,16,,
9/27/2014,etc_cum_admission,676,504,,,,,,,,,,,,,,31,,
9/27/2014,etc_new_deaths,3,0,,,,,,,,,,,,,,0,,
9/27/2014,etc_cum_deaths,225,248,,,,,,,,,,,,,,11,,
9/27/2014,etc_new_discharges,1,0,,,,,,,,,,,,,,4,,
9/27/2014,etc_cum_discharges,126,288,,,,,,,,,,,,,,4,,
9/27/2014,cum_contacts,1606,2788,265,162,,1039,1376,2433,409,705,353,89,989,400,12614,,,
9/27/2014,cum_completed_contacts,1169,2317,140,12,,288,217,500,240,661,178,32,604,129,6487,,,
9/27/2014,contacts_followed,167,476,125,160,,751,1159,1933,169,44,175,57,435,271,5922,,,
9/27/2014,new_contacts,0,4,7,60,,18,0,82,0,0,0,0,0,0,171,,,
9/27/2014,contacts_healthy,167,468,113,160,,737,1159,1809,169,44,175,57,435,270,5763,,,
9/27/2014,contacts_ill,0,0,12,0,,5,0,50,0,0,0,0,0,1,68,,,
9/27/2014,contacts_not_seen,0,8,0,0,,9,0,74,0,0,0,0,0,0,91,,,
9/27/2014,new_completed_contacts,30,34,0,0,,0,20,0,0,0,0,0,4,15,103,,,
9/27/2014,percent_seen,100%,98%,99%,100%,,98%,100%,98%,100%,100%,100%,100%,100%,100%,98%,,,
