"Country","Location","Ebola measure","Case definition","Ebola data source","Epi week","Indicator type","Data package ID","Display Value","Numeric","Low","High","Comments"
"Sierra Leone","FREETOWN","Number of cases","Confirmed and probable case total","Patient database","22 June 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","FREETOWN","Number of cases","Confirmed and probable case total","Situation report","17 August 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","FREETOWN","Number of cases","Confirmed and probable case total","Patient database","19 October 2014","New","Data package 2014-11-12","70","70.00000","","",""
"Sierra Leone","FREETOWN","Number of cases","Confirmed and probable case total","Patient database","31 August 2014","New","Data package 2014-11-12","20","20.00000","","",""
"Sierra Leone","FREETOWN","Number of cases","Confirmed and probable case total","Situation report","26 October 2014","New","Data package 2014-11-12","65","65.00000","","",""
"Sierra Leone","FREETOWN","Number of cases","Confirmed and probable case total","Patient database","02 March 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","FREETOWN","Number of cases","Confirmed and probable case total","Patient database","05 January 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","FREETOWN","Number of cases","Confirmed and probable case total","Situation report","02 March 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","FREETOWN","Number of cases","Confirmed and probable case total","Situation report","20 April 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","FREETOWN","Number of cases","Confirmed and probable case total","Situation report","29 June 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","FREETOWN","Number of cases","Confirmed and probable case total","Patient database","04 May 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","FREETOWN","Number of cases","Confirmed and probable case total","Situation report","19 October 2014","New","Data package 2014-11-12","98","98.00000","","",""
"Sierra Leone","FREETOWN","Number of cases","Confirmed and probable case total","Situation report","23 February 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","FREETOWN","Number of cases","Confirmed and probable case total","Situation report","04 May 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","FREETOWN","Number of cases","Confirmed and probable case total","Situation report","22 June 2014","New","Data package 2014-11-12","","","","",""
