"Country","Ebola measure","Case definition","Ebola data source","Epi week","Indicator type","Data package ID","Display Value","Numeric","Low","High","Comments"
"Guinea","Number of cases","Confirmed and probable case total","Situation report","19 October 2014","New","Data package 2014-11-12","102","102.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","22 June 2014","New","Data package 2014-11-12","18","18.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","02 March 2014","New","Data package 2014-11-12","","","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","23 February 2014","New","Data package 2014-11-12","5","5.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","12 October 2014","New","Data package 2014-11-12","140","140.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","20 April 2014","New","Data package 2014-11-12","","","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","22 June 2014","New","Data package 2014-11-12","","","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","24 August 2014","New","Data package 2014-11-12","76","76.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","27 April 2014","New","Data package 2014-11-12","10","10.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","05 January 2014","New","Data package 2014-11-12","2","2.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","23 February 2014","New","Data package 2014-11-12","","","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","15 June 2014","New","Data package 2014-11-12","","","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","20 April 2014","New","Data package 2014-11-12","16","16.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","17 August 2014","New","Data package 2014-11-12","44","44.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","12 October 2014","New","Data package 2014-11-12","147","147.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","29 June 2014","New","Data package 2014-11-12","24","24.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","24 August 2014","New","Data package 2014-11-12","","","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","02 March 2014","New","Data package 2014-11-12","9","9.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","16 February 2014","New","Data package 2014-11-12","","","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","17 August 2014","New","Data package 2014-11-12","","","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","19 October 2014","New","Data package 2014-11-12","118","118.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","27 April 2014","New","Data package 2014-11-12","","","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","16 March 2014","New","Data package 2014-11-12","27","27.00000","","",""
