"Country","Location","Ebola measure","Case definition","Ebola data source","Epi week","Indicator type","Data package ID","Display Value","Numeric","Low","High","Comments"
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","26 January 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","23 March 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","14 September 2014","New","Data package 2014-11-12","252","252.00000","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","13 July 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","16 March 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","19 January 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","27 July 2014","New","Data package 2014-11-12","24","24.00000","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","26 January 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","25 May 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","18 May 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","30 March 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","20 July 2014","New","Data package 2014-11-12","18","18.00000","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","23 March 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","18 May 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","14 September 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","09 November 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","25 May 2014","New","Data package 2014-11-12","1","1.00000","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","21 September 2014","New","Data package 2014-11-12","239","239.00000","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","19 January 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","20 July 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","02 February 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","07 September 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","31 August 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","04 May 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","12 January 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","16 February 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","06 April 2014","New","Data package 2014-11-12","0","0.00000","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","24 August 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","08 June 2014","New","Data package 2014-11-12","0","0.00000","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","05 October 2014","New","Data package 2014-11-12","159","159.00000","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","02 November 2014","New","Data package 2014-11-12","57","57.00000","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","05 January 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","09 March 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","01 June 2014","New","Data package 2014-11-12","0","0.00000","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","10 August 2014","New","Data package 2014-11-12","85","85.00000","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","28 September 2014","New","Data package 2014-11-12","222","222.00000","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","06 July 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","09 February 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","26 October 2014","New","Data package 2014-11-12","47","47.00000","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","03 August 2014","New","Data package 2014-11-12","31","31.00000","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","11 May 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","02 March 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","29 June 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","13 April 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","15 June 2014","New","Data package 2014-11-12","5","5.00000","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","10 August 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","13 April 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","24 August 2014","New","Data package 2014-11-12","160","160.00000","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","22 June 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","27 April 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","19 October 2014","New","Data package 2014-11-12","131","131.00000","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","09 November 2014","New","Data package 2014-11-12","44","44.00000","","","Situation report only contains data up to November 8, 2014"
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","23 February 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","17 August 2014","New","Data package 2014-11-12","109","109.00000","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","15 June 2014","New","Data package 2014-11-12","","","","",""
