"Country","Ebola measure","Case definition","Ebola data source","Epi week","Indicator type","Data package ID","Display Value","Numeric","Low","High","Comments"
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","02 November 2014","New","Data package 2014-11-12","285","285.00000","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","04 May 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","02 March 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","12 January 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","11 May 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","16 March 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","31 August 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","26 October 2014","New","Data package 2014-11-12","451","451.00000","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","05 January 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","06 July 2014","New","Data package 2014-11-12","93","93.00000","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","04 May 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","09 March 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","11 May 2014","New","Data package 2014-11-12","2","2.00000","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","07 September 2014","New","Data package 2014-11-12","207","207.00000","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","02 November 2014","New","Data package 2014-11-12","440","440.00000","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","24 August 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","06 July 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","19 January 2014","New","Data package 2014-11-12","","","","",""
